trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
6835,False,"{'a': 0.1, 'e': 0.03279431833796845}",35,21,25.079986221967967,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
6836,False,"{'a': 0.1, 'e': 0.032777925277406125}",35,16,32.59494137388157,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
6837,False,"{'a': 0.1, 'e': 0.0327615404113253}",20,3,27.17742894247133,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
6838,False,"{'a': 0.1, 'e': 0.03274516373562974}",20,10,18.333706408157724,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6839,False,"{'a': 0.1, 'e': 0.03272879524622528}",25,16,19.351998947385347,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
6840,False,"{'a': 0.1, 'e': 0.03271243493901982}",20,12,-8.908996514002302,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
6841,False,"{'a': 0.1, 'e': 0.03269608280992324}",20,12,13.322732505186062,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
6842,False,"{'a': 0.1, 'e': 0.03267973885484755}",25,15,18.595437061235316,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6843,False,"{'a': 0.1, 'e': 0.03266340306970674}",20,14,10.290880713077293,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
6844,False,"{'a': 0.1, 'e': 0.03264707545041687}",20,8,23.520984103169823,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6845,False,"{'a': 0.1, 'e': 0.032630755992896034}",20,4,-22.31127144984512,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 1}",1
6846,False,"{'a': 0.1, 'e': 0.03261444469306436}",30,23,12.5320737241679,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
6847,False,"{'a': 0.1, 'e': 0.032598141546844026}",20,9,20.37743345109795,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
6848,False,"{'a': 0.1, 'e': 0.03258184655015926}",20,2,21.95367423463565,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
6849,False,"{'a': 0.1, 'e': 0.03256555969893629}",20,15,1.5381274557697533,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
6850,False,"{'a': 0.1, 'e': 0.03254928098910342}",30,20,25.4833160536528,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6851,False,"{'a': 0.1, 'e': 0.03253301041659097}",25,13,21.599602506411824,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6852,False,"{'a': 0.1, 'e': 0.03251674797733129}",20,8,21.899010280988314,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6853,False,"{'a': 0.1, 'e': 0.03250049366725878}",20,9,19.228372261805546,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
6854,False,"{'a': 0.1, 'e': 0.032484247482309846}",25,18,12.749552700975666,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
6855,False,"{'a': 0.1, 'e': 0.03246800941842295}",25,7,31.970960858412795,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
6856,False,"{'a': 0.1, 'e': 0.03245177947153859}",20,10,16.418576915551938,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6857,False,"{'a': 0.1, 'e': 0.032435557637599255}",20,13,13.168883904915727,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
6858,False,"{'a': 0.1, 'e': 0.0324193439125495}",25,7,30.92799731654026,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
6859,False,"{'a': 0.1, 'e': 0.032403138292335903}",20,11,17.739212750159435,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
6860,False,"{'a': 0.1, 'e': 0.03238694077290704}",20,12,16.14329658899199,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
6861,False,"{'a': 0.1, 'e': 0.03237075135021355}",25,8,30.41872389052753,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
6862,False,"{'a': 0.1, 'e': 0.03235457002020804}",20,13,12.434543225030163,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
6863,False,"{'a': 0.1, 'e': 0.03233839677884522}",20,3,28.611747448488426,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
6864,False,"{'a': 0.1, 'e': 0.03232223162208177}",30,18,-19.78208566557537,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
6865,False,"{'a': 0.1, 'e': 0.03230607454587638}",30,13,30.674863169224697,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
6866,False,"{'a': 0.1, 'e': 0.0322899255461898}",20,13,15.739779523449945,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
6867,False,"{'a': 0.1, 'e': 0.03227378461898478}",20,10,17.58170851576285,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6868,False,"{'a': 0.1, 'e': 0.032257651760226075}",25,11,26.382858487147534,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
6869,False,"{'a': 0.1, 'e': 0.03224152696588049}",25,9,27.207888726015504,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
6870,False,"{'a': 0.1, 'e': 0.0322254102319168}",25,10,27.174045155076747,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
6871,False,"{'a': 0.1, 'e': 0.03220930155430584}",35,13,41.39008786652673,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
6872,False,"{'a': 0.1, 'e': 0.03219320092902044}",30,13,31.793623670356453,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
6873,False,"{'a': 0.1, 'e': 0.03217710835203544}",20,13,12.544229612095407,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
6874,False,"{'a': 0.1, 'e': 0.032161023819327686}",25,14,23.070582372443898,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
6875,False,"{'a': 0.1, 'e': 0.03214494732687607}",30,20,19.564972408452867,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6876,False,"{'a': 0.1, 'e': 0.03212887887066144}",30,13,28.80124867196221,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
6877,False,"{'a': 0.1, 'e': 0.03211281844666671}",25,13,23.358779786840007,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6878,False,"{'a': 0.1, 'e': 0.032096766050876746}",20,8,22.3280465467556,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6879,False,"{'a': 0.1, 'e': 0.03208072167927846}",20,0,30.552641269451094,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
6880,False,"{'a': 0.1, 'e': 0.03206468532786077}",30,16,28.81523364801482,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
6881,False,"{'a': 0.1, 'e': 0.03204865699261457}",35,18,34.92140602800691,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
6882,False,"{'a': 0.1, 'e': 0.03203263666953279}",20,16,8.094112513005308,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
6883,False,"{'a': 0.1, 'e': 0.03201662435461035}",30,18,9.571292578415086,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
6884,False,"{'a': 0.1, 'e': 0.03200062004384415}",20,8,24.349922484217075,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6885,False,"{'a': 0.1, 'e': 0.03198462373323315}",30,15,27.79929513684601,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
6886,False,"{'a': 0.1, 'e': 0.03196863541877823}",20,9,19.24974043520637,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
6887,False,"{'a': 0.1, 'e': 0.03195265509648233}",35,17,36.57780010007771,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
6888,False,"{'a': 0.1, 'e': 0.03193668276235039}",25,15,18.082517952233545,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6889,False,"{'a': 0.1, 'e': 0.03192071841238929}",25,10,23.05785627021811,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
6890,False,"{'a': 0.1, 'e': 0.03190476204260796}",35,24,21.813078193360738,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
6891,False,"{'a': 0.1, 'e': 0.03188881364901732}",35,15,31.88831710594855,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
6892,False,"{'a': 0.1, 'e': 0.031872873227630244}",30,13,31.41005181748457,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
6893,False,"{'a': 0.1, 'e': 0.03185694077446166}",20,8,21.09041197875964,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6894,False,"{'a': 0.1, 'e': 0.03184101628552841}",20,10,17.297217403156505,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6895,False,"{'a': 0.1, 'e': 0.03182509975684941}",25,13,25.081437489751163,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6896,False,"{'a': 0.1, 'e': 0.03180919118444552}",20,3,27.63619028597301,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
6897,False,"{'a': 0.1, 'e': 0.031793290564339584}",25,14,24.670530338036144,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
6898,False,"{'a': 0.1, 'e': 0.03177739789255645}",25,14,24.09294089803447,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
6899,False,"{'a': 0.1, 'e': 0.031761513165122976}",20,9,18.89912276223646,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
6900,False,"{'a': 0.1, 'e': 0.03174563637806794}",20,14,10.847236431122202,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
6901,False,"{'a': 0.1, 'e': 0.031729767527422174}",25,13,18.621178866898305,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6902,False,"{'a': 0.1, 'e': 0.03171390660921845}",20,13,14.150245132722496,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
6903,False,"{'a': 0.1, 'e': 0.03169805361949153}",30,20,20.22449178909506,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6904,False,"{'a': 0.1, 'e': 0.0316822085542782}",20,12,14.834850728717832,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
6905,False,"{'a': 0.1, 'e': 0.031666371409617165}",20,8,22.53748440210074,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6906,False,"{'a': 0.1, 'e': 0.03165054218154915}",20,9,20.51063125670868,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
6907,False,"{'a': 0.1, 'e': 0.03163472086611685}",20,12,14.145331788286269,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
6908,False,"{'a': 0.1, 'e': 0.031618907459364916}",25,11,20.771432851384102,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
6909,False,"{'a': 0.1, 'e': 0.031603101957340035}",25,17,15.084243708491023,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
6910,False,"{'a': 0.1, 'e': 0.031587304356090785}",20,6,-30.466244200307095,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
6911,False,"{'a': 0.1, 'e': 0.03157151465166779}",25,11,25.045233118827802,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
6912,False,"{'a': 0.1, 'e': 0.03155573284012364}",20,14,13.346996943517489,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
6913,False,"{'a': 0.1, 'e': 0.03153995891751285}",25,15,17.421072888272572,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6914,False,"{'a': 0.1, 'e': 0.031524192879891964}",30,17,26.031902867461444,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
6915,False,"{'a': 0.1, 'e': 0.031508434723319455}",25,11,10.134247474776483,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
6916,False,"{'a': 0.1, 'e': 0.031492684443855785}",20,14,-9.507620482206127,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
6917,False,"{'a': 0.1, 'e': 0.031476942037563405}",25,12,22.758648170627534,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
6918,False,"{'a': 0.1, 'e': 0.03146120750050669}",20,14,7.746357388500325,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
6919,False,"{'a': 0.1, 'e': 0.031445480828752}",25,19,10.186450906386181,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
